YEAR,C150_4,LOAN_COMP_ORIG_YR4_RT,PELL_COMP_ORIG_YR4_RT,
1997,48.2,33.0556,33.1201,
1998,48.1,35.4225,33.4462,
1999,47.6,33.0749,33.0593,
2000,49,35.4225,33.44,
2001,49.6,33.0556,33.1201,
2002,48.9,32.9189,32.8662,
2003,48.8,30.7705,33.7549,
2004,49.9,33.878,34.3605,
2005,49.5,35.3061,35.6335,
2006,49.9,34.888,35.6558,
2007,49.6,34.7306,35.504,
2008,49.2,35.5052,36.5116,
2009,48.4,38.1416,36.9268,
2010,47.9,37.0773,37.9917,
2011,47.4,37.3272,40.3016,
2012,47.2,37.3752,41.5275,
2013,47.6,39.9216,40.9037,
2014,47.8,40.7053,40.7007,
2015,47.7,42.1487,41.1846,
2016,48.1,42.5016,41.284,
2017,48.6,42.4935,41.5735,
2018,50.5,43.3911,43.21308,
